Loss,Accuracy,Batch
0.37631413,0.8532288,3000
0.38246173,0.84378606,3010
0.4095224,0.8352688,3020
0.4312687,0.82064074,3030
0.41124412,0.8370461,3040
0.39690113,0.846724,3050
0.380707,0.8478094,3060
0.42012042,0.8291502,3070
0.34938753,0.8618529,3080
0.36770818,0.8551751,3090
0.35331208,0.8630667,3100
0.35989416,0.8549387,3110
0.3708924,0.84945303,3120
0.3620615,0.85424346,3130
0.3439492,0.8658648,3140
0.3553543,0.8592587,3150
0.42413872,0.8349485,3160
0.3510842,0.8634315,3170
0.34701905,0.8576485,3180
0.43072826,0.8301056,3190
0.3679614,0.85299283,3200
0.35532534,0.8651333,3210
0.41591617,0.83528215,3220
0.3781059,0.84365934,3230
0.3734765,0.85160124,3240
0.35007197,0.8585911,3250
