Loss,Accuracy,Batch
0.14497824,0.93860555,2240
0.1355715,0.940877,2250
0.13430579,0.94225985,2260
0.15605786,0.93144363,2270
0.14781076,0.93550307,2280
0.12660122,0.94656354,2290
0.14371936,0.93515456,2300
0.13738902,0.94118273,2310
0.16259879,0.92988276,2320
0.14045788,0.93915486,2330
0.14935622,0.9348805,2340
0.13271123,0.9422029,2350
0.1438995,0.93569356,2360
0.14291264,0.9397301,2370
0.12597884,0.9494452,2380
0.13138565,0.9451189,2390
0.11883385,0.94851595,2400
0.13770197,0.9411919,2410
0.15536179,0.9327135,2420
0.1393136,0.9384171,2430
0.12751573,0.9458971,2440
0.15292089,0.9331325,2450
0.12835209,0.9446921,2460
0.13766974,0.94019467,2470
0.16377528,0.9273634,2480
0.15396662,0.93398607,2490
0.14258318,0.9379921,2500
0.13819045,0.9407848,2510
0.14371611,0.94073105,2520
0.15296525,0.9349413,2530
0.13968004,0.93743557,2540
0.14269228,0.93861026,2550
0.12096422,0.94837517,2560
0.14865054,0.93663305,2570
0.14285682,0.9356976,2580
0.12093041,0.94900817,2590
0.13974895,0.9394508,2600
0.13080157,0.9426685,2610
0.14534922,0.9390778,2620
0.13824409,0.9385407,2630
0.15155539,0.9348036,2640
0.14761469,0.932729,2650
0.1423528,0.93156666,2660
0.15135221,0.9259691,2670
0.1169265,0.9469804,2680
0.12856661,0.9390369,2690
0.12736604,0.9392765,2700
0.14936958,0.9284106,2710
0.12733935,0.9418539,2720
0.1323152,0.93785346,2730
0.111470215,0.95030403,2740
0.12773491,0.9404935,2750
0.09641218,0.95712644,2760
0.1318631,0.94064903,2770
0.1305331,0.9377909,2780
0.1289532,0.93830645,2790
0.13101786,0.937866,2800
0.13096334,0.941378,2810
0.14711423,0.9304804,2820
0.14594398,0.9307576,2830
0.1257609,0.9424086,2840
0.14072414,0.9341917,2850
0.13875538,0.93344474,2860
0.12272606,0.94441813,2870
0.12805402,0.9413013,2880
0.13354273,0.93768525,2890
0.1251059,0.9442326,2900
0.13632399,0.94339126,2910
0.12497907,0.9459,2920
0.12817179,0.94307715,2930
0.10983323,0.95170057,2940
0.109811895,0.9520007,2950
0.124198034,0.9443948,2960
0.112681076,0.95118123,2970
0.11410293,0.952367,2980
0.12748598,0.9427323,2990
0.13578387,0.93977493,3000
0.11284967,0.9503073,3010
0.13446015,0.9412207,3020
0.13306887,0.940934,3030
0.14175725,0.93523747,3040
0.106163524,0.9533165,3050
0.107895635,0.9521074,3060
0.11973948,0.94965935,3070
0.13141745,0.94199425,3080
0.12524045,0.9443104,3090
0.11854374,0.94716257,3100
0.121642,0.94823456,3110
0.12909864,0.94282913,3120
0.11346007,0.949674,3130
0.15537989,0.92339516,3140
0.14197493,0.93009245,3150
0.11828825,0.94229835,3160
0.13591652,0.93336713,3170
0.14196132,0.93399334,3180
0.1332371,0.9399012,3190
0.15028472,0.9310766,3200
0.15825318,0.92683005,3210
0.15546958,0.9321883,3220
0.1277854,0.94198126,3230
0.11937997,0.9489115,3240
0.17244957,0.92078227,3250
0.13182962,0.9429365,3260
0.16227576,0.92531466,3270
0.16705026,0.9271301,3280
0.13590711,0.9422287,3290
0.15172762,0.93120617,3300
0.123802334,0.94446754,3310
0.14818627,0.93368113,3320
0.14096403,0.93783754,3330
0.14203443,0.9363979,3340
0.15534538,0.93094486,3350
0.14708546,0.9330407,3360
0.1439932,0.93659973,3370
0.1443892,0.9319303,3380
0.1691063,0.92279154,3390
0.12733176,0.9418179,3400
0.13381599,0.9418304,3410
0.14366435,0.9364803,3420
0.12892988,0.94423205,3430
0.12887272,0.94143105,3440
0.11713076,0.9485527,3450
0.123014785,0.9461395,3460
0.13199432,0.94433427,3470
0.12425165,0.9461658,3480
0.12858652,0.9421679,3490
0.12236695,0.94728947,3500
0.12167172,0.9447754,3510
0.11525763,0.9529331,3520
0.1171814,0.9502248,3530
0.1162828,0.94955975,3540
0.124379806,0.9441175,3550
0.12164959,0.94856733,3560
0.11473644,0.95090765,3570
0.11026592,0.9494482,3580
0.13537712,0.9407704,3590
0.11917145,0.9456281,3600
0.12693138,0.94076705,3610
0.124881126,0.9455009,3620
0.115392186,0.948818,3630
0.13873027,0.93928456,3640
0.10926687,0.95147854,3650
0.14197764,0.9366055,3660
0.12225077,0.9418536,3670
0.11608892,0.9438126,3680
0.116400264,0.9460192,3690
