Loss,Accuracy,Recall,Precision,F1-Score,Batch
0.39763287,0.8429351,0.79112583,0.897701,0.841013,1430
0.36507475,0.8613991,0.8067419,0.91410357,0.8569093,1435
0.3689331,0.853477,0.8030186,0.90668815,0.8515784,1440
0.40451872,0.8333833,0.7815333,0.895447,0.8344469,1445
0.3795145,0.84616905,0.7950911,0.8994796,0.8439989,1450
0.4192512,0.8351813,0.7740868,0.89420176,0.8296879,1455
0.4022665,0.8376303,0.7762757,0.8971574,0.8322594,1460
0.43007365,0.8283475,0.76553637,0.8939139,0.82441896,1465
0.36409488,0.85441923,0.8035054,0.90794104,0.8523889,1470
0.41593888,0.8410351,0.780703,0.8988158,0.8355334,1475
0.5222888,0.79068774,0.72067803,0.8641906,0.78582996,1480
0.3936746,0.8463633,0.78558445,0.9062875,0.8415644,1485
0.4201438,0.833795,0.7794494,0.89362556,0.83259565,1490
0.4182124,0.8348386,0.7717597,0.89960164,0.8306727,1495
0.40231013,0.84034157,0.78489447,0.8987024,0.8378725,1500
0.39565086,0.84555197,0.785985,0.9099779,0.8433407,1505
0.39470515,0.8451669,0.79013634,0.89905256,0.84098667,1510
0.40837324,0.83449525,0.7758638,0.8991268,0.8326907,1515
0.39682952,0.84169286,0.788074,0.8970895,0.83899117,1520
0.423676,0.83673954,0.7738962,0.8972916,0.8309056,1525
0.36479744,0.8530287,0.79946727,0.9117456,0.8518718,1530
0.47964844,0.81680393,0.7529078,0.87666893,0.81006217,1535
0.39494026,0.84292334,0.7920024,0.8993074,0.84217197,1540
0.42143977,0.8310376,0.77463937,0.8898036,0.8281861,1545
0.42712578,0.8325882,0.782757,0.88969564,0.8327832,1550
0.45115772,0.82145196,0.76603323,0.87787753,0.8180832,1555
0.40115547,0.8501573,0.788703,0.9045965,0.8424902,1560
0.395071,0.8496134,0.798902,0.8979869,0.8454378,1565
0.4246405,0.8290558,0.77179927,0.89287066,0.8278918,1570
0.41419592,0.83240414,0.77699345,0.8971676,0.832684,1575
0.438917,0.82522756,0.76114815,0.8899453,0.8204065,1580
0.3928587,0.84387916,0.7852848,0.90026647,0.83865714,1585
0.39553705,0.84924746,0.7928416,0.9039902,0.84464115,1590
0.43295372,0.8321056,0.7737879,0.89368755,0.8293095,1595
0.40256318,0.84173363,0.788915,0.89634603,0.8391654,1600
0.43725768,0.8281333,0.7659623,0.89108306,0.8236969,1605
0.4311398,0.8304444,0.7686861,0.88743806,0.8237207,1610
0.44099808,0.82522106,0.7699972,0.8876888,0.82464504,1615
0.39995226,0.8398234,0.7833255,0.898187,0.8364809,1620
0.42991456,0.82968354,0.7759895,0.89107007,0.82948047,1625
0.40582803,0.8365714,0.7773923,0.8976038,0.83311003,1630
0.4079955,0.8365169,0.78520936,0.8932629,0.8355908,1635
